especie,especieCBRO
Phylloscartes kronei,Phylloscartes kronei
Phylloscartes oustaleti,Phylloscartes oustaleti
Phylloscartes paulista,Phylloscartes paulista
Phylloscartes roquettei,Phylloscartes roquettei
Phylloscartes sylviolus,Phylloscartes sylviolus
Picoides mixtus,Veniliornis mixtus
Piculus chrysochloros paraensis,Piculus paraensis
Piculus chrysochlorus,Piculus chrysochloros
Piculus flavigula,Piculus flavigula
Pieroglossus castanotis,Pteroglossus castanotis
Pilherodius pileatus,Pilherodius pileatus
Pionopsitta pileata,Pionopsitta pileata
Pionus menstruus,Pionus menstruus
Pionus reichenowi,Pionus reichenowi
Pipile jacutinga,Aburria jacutinga
Pipra pipra,Pseudopipra pipra
Pipra rubrocapilla,Ceratopipra rubrocapilla
Piprites chloris,Piprites chloris
Piprites chloris griseicens,Piprites chloris grisescens
Piprites pileata,Piprites pileata
Piprites pileatus,Piprites pileata
Piranga flava,Piranga flava
Platalea ajaja,Platalea ajaja
Platyrinchus leucoryphus,Platyrinchus leucoryphus
Plegadis chihi,Plegadis chihi
Podiceps occipitalis,Podiceps occipitalis
Poecilotriccus latirostris,Poecilotriccus latirostris
Polioptila lactea,Polioptila lactea
Polystictus pectoralis,Polystictus pectoralis
Polystictus superciliaris,Polystictus superciliaris
Polytmus guainumbi,Polytmus guainumbi
Poospiza cinerea,Microspingus cinereus
Poospiza melanoleuca,Microspingus melanoleucus
Poospiza thoracica,Castanozoster thoracicus
Popelairia langsdorffi,Discosura langsdorffi
Porphyrio flavirostris,Porphyrio flavirostris
Porphyriops melanops,Porphyriops melanops
Porphyriops melanops melanops,Porphyriops melanops melanops
Porzana flaviventer,Laterallus flaviventer
Porzana spiloptera,Laterallus spilopterus
Primolius maracana,Primolius maracana
Procacicus solitarius,Cacicus solitarius
Procellaria aequinoctialis,Procellaria aequinoctialis
Procellaria conspicillata,Procellaria conspicillata
Procnias nudicollis,Procnias nudicollis
Progne elegans,Progne elegans
Progne subis,Progne subis
Propyrrhura maracana,Primolius maracana
Psarocolius decumanus,Psarocolius decumanus
Pseudastur polionotus,Pseudastur polionotus
Pseudocolopteryx acutipennis,Pseudocolopteryx acutipennis
Pseudocolopteryx flaviventris,Pseudocolopteryx flaviventris
